date,action,buy_period,buy_thr,sell_period,sell_thr,rsi_low_at_d,rsi_high_at_d,condition_met,price,mode,reason,low_price,high_price
2011-05-04 00:00:00,BUY,2,24.0,2,90.0,4.4747737341,50.0240974659,Yes,0.948029350030062,BSOLVE,iters=1,0.9231669903,0.9811670184
2011-07-01 00:00:00,SELL,2,24.0,2,90.0,80.0812801263,97.9712599094,Yes,0.7902294805342954,BSOLVE,iters=1,0.7573329806,0.8166670203
2012-04-05 00:00:00,BUY,2,24.0,2,90.0,1.8020039283,27.6791593226,Yes,0.6606553652359469,BSOLVE,iters=1,0.6445000172,0.6633329988
2012-06-19 00:00:00,SELL,2,24.0,2,90.0,92.148928077,95.9794566848,Yes,0.4648329914,FAST_LOW,threshold already passed,0.4648329914,0.4839999974
2012-09-21 00:00:00,BUY,2,24.0,2,90.0,9.0388380017,62.0120765668,Yes,0.5041342789289803,BSOLVE,iters=1,0.4993329942,0.516332984
2012-11-26 00:00:00,SELL,2,24.0,2,90.0,72.2565878311,96.4006572387,Yes,0.4050634907995553,BSOLVE,iters=1,0.3959999979,0.4083330035
2013-06-21 00:00:00,BUY,2,24.0,2,90.0,10.3179601307,39.8316586966,Yes,0.7397306452255716,BSOLVE,iters=1,0.719332993,0.7633330226
2013-07-12 00:00:00,SELL,2,24.0,2,90.0,92.3616471152,94.7769107662,Yes,0.8761669993,FAST_LOW,threshold already passed,0.8761669993,0.8948330283
2013-08-08 00:00:00,BUY,2,24.0,2,90.0,5.4998682174,45.1619542567,Yes,0.8082166621486611,BSOLVE,iters=1,0.796167016,0.8220000267
2013-09-05 00:00:00,SELL,2,24.0,2,90.0,91.9198872497,94.3811201,Yes,0.8063330054,FAST_LOW,threshold already passed,0.8063330054,0.8253329992
2013-09-30 00:00:00,BUY,2,24.0,2,90.0,3.0115457967,46.6462688129,Yes,0.8762673479620884,BSOLVE,iters=1,0.8535000086,0.9008330107
2013-11-29 00:00:00,SELL,2,24.0,2,90.0,78.0388549259,96.3716686575,Yes,1.0038882086113279,BSOLVE,iters=1,0.9936670065,1.0093330145
2014-02-04 00:00:00,BUY,2,24.0,2,90.0,9.2333849204,26.1445974075,Yes,1.0372684199795856,BSOLVE,iters=1,1.0161670446,1.0403330326
2014-02-10 00:00:00,SELL,2,24.0,2,90.0,79.9727470225,96.006524054,Yes,1.1503862097269657,BSOLVE,iters=1,1.1318329573,1.1614999771
2015-01-02 00:00:00,BUY,2,24.0,2,90.0,1.9310491418,68.5409443507,Yes,2.2286069718998744,BSOLVE,iters=1,2.1823329926,2.3220000267
2015-01-22 00:00:00,SELL,2,24.0,2,90.0,30.6099535539,94.4025327737,Yes,2.178928298062723,BSOLVE,iters=1,2.0183329582,2.1908330917
2015-01-29 00:00:00,BUY,2,24.0,2,90.0,3.6484275125,41.398218813,Yes,1.9977565740329777,BSOLVE,iters=1,1.924167037,2.060667038
2015-02-13 00:00:00,SELL,2,24.0,2,90.0,81.8400023916,96.647804719,Yes,2.381737971602207,BSOLVE,iters=1,2.3359999657,2.4189999104
2015-06-05 00:00:00,BUY,2,24.0,2,90.0,2.9058246664,28.5043002846,Yes,2.5570275584494073,BSOLVE,iters=1,2.4806671143,2.573333025
2015-09-16 00:00:00,SELL,2,24.0,2,90.0,45.7381873858,93.7868113633,Yes,1.5610771556078489,BSOLVE,iters=1,1.5113329887,1.5653330088
2015-11-11 00:00:00,BUY,2,24.0,2,90.0,20.4125749598,52.8873496939,Yes,1.7568490231011098,BSOLVE,iters=1,1.75,1.8120000362
2015-12-01 00:00:00,SELL,2,24.0,2,90.0,95.9792420855,98.1352301928,Yes,1.9273329973,FAST_LOW,threshold already passed,1.9273329973,1.993999958
2016-01-11 00:00:00,BUY,2,24.0,2,90.0,0.2401893314,36.7062403397,Yes,1.3353073970853966,BSOLVE,iters=1,1.2766669989,1.3666670322
2016-02-17 00:00:00,SELL,2,24.0,2,90.0,92.4327683204,95.6402919734,Yes,1.2313330173,FAST_LOW,threshold already passed,1.2313330173,1.3066669703
2016-05-05 00:00:00,BUY,2,24.0,2,90.0,8.8912431598,53.5565613857,Yes,1.4885117381517288,BSOLVE,iters=1,1.4686670303,1.5273330212
2016-05-24 00:00:00,SELL,2,24.0,2,90.0,94.6122073351,97.3649374962,Yes,1.75,FAST_LOW,threshold already passed,1.75,1.8493330479
2016-06-15 00:00:00,BUY,2,24.0,2,90.0,4.8494781515,67.2218458482,Yes,1.932170646127596,BSOLVE,iters=1,1.9160000086,1.9686670303
2016-07-11 00:00:00,SELL,2,24.0,2,90.0,94.0893465495,95.6415818747,Yes,1.9646669626,FAST_LOW,threshold already passed,1.9646669626,2.0146670341
2017-01-03 00:00:00,BUY,2,24.0,2,90.0,5.4159542543,59.3622593034,Yes,3.8038422142289425,BSOLVE,iters=1,3.7126669884,3.9773330688
2017-02-08 00:00:00,SELL,2,24.0,2,90.0,50.6232237358,97.0092211516,Yes,4.702457074952563,BSOLVE,iters=1,4.5926671028,4.7220001221
2017-04-06 00:00:00,BUY,2,24.0,2,90.0,1.6260863275,39.2285527975,Yes,4.9221656203866,BSOLVE,iters=1,4.8146672249,4.9953331947
2017-05-11 00:00:00,SELL,2,24.0,2,90.0,56.1432651892,97.3187827135,Yes,5.6880238875912745,BSOLVE,iters=1,5.4506669044,5.7393331528
2017-08-04 00:00:00,BUY,2,24.0,2,90.0,10.0387066581,65.9760755501,Yes,6.111918916168176,BSOLVE,iters=1,6.062666893,6.2600002289
2017-08-31 00:00:00,SELL,2,24.0,2,90.0,96.6864169478,98.2328608962,Yes,6.5066671371,FAST_LOW,threshold already passed,6.5066671371,6.6913328171
2017-11-30 00:00:00,BUY,2,24.0,2,90.0,3.4434942712,38.1799862323,Yes,9.800383201868915,BSOLVE,iters=1,9.5206670761,9.9933328629
2018-01-04 00:00:00,SELL,2,24.0,2,90.0,78.8396395581,94.6858640401,Yes,10.629254405329446,BSOLVE,iters=1,10.3686666489,10.7386665344
2018-06-26 00:00:00,BUY,2,24.0,2,90.0,1.7857668346,29.7235298904,Yes,9.970282490271078,BSOLVE,iters=1,9.733332634,10.0313329697
2018-08-07 00:00:00,SELL,2,24.0,2,90.0,94.9602655483,97.8402422678,Yes,11.0213327408,FAST_LOW,threshold already passed,11.0213327408,11.28266716
2018-08-13 00:00:00,BUY,2,24.0,2,90.0,9.7335055459,41.6046087161,Yes,10.322747228294523,BSOLVE,iters=1,10.1866674423,10.4906673431
2018-08-27 00:00:00,SELL,2,24.0,2,90.0,98.4864969663,99.3296990828,Yes,10.7793331146,FAST_LOW,threshold already passed,10.7793331146,11.3500003815
2018-11-20 00:00:00,BUY,2,24.0,2,90.0,8.6662537531,43.3448170708,Yes,5.90538972096641,BSOLVE,iters=1,5.556666851,6.3453330994
2019-02-05 00:00:00,SELL,2,24.0,2,90.0,72.3206940665,95.5513628977,Yes,7.597562571338876,BSOLVE,iters=1,7.4093332291,7.6566672325
2019-05-10 00:00:00,BUY,2,24.0,2,90.0,1.3405419814,36.7567978328,Yes,10.581387038993833,BSOLVE,iters=1,9.9739999771,10.923333168
2019-06-10 00:00:00,SELL,2,24.0,2,90.0,95.8022705311,97.9296274499,Yes,8.7873325348,FAST_LOW,threshold already passed,8.7873325348,9.4239997864
2020-02-26 00:00:00,BUY,2,24.0,2,90.0,2.6821859026,39.1688652589,Yes,15.257040317562046,BSOLVE,iters=1,14.5333328247,15.7720003128
2020-05-11 00:00:00,SELL,2,24.0,2,90.0,58.652387694,96.1137995799,Yes,9.39399345011461,BSOLVE,iters=1,8.939332962,9.4826669693
2020-08-10 00:00:00,BUY,2,24.0,2,90.0,7.5977377053,48.1668567599,Yes,15.697732602525026,BSOLVE,iters=1,15.3346672058,16.232667923
2020-08-26 00:00:00,SELL,2,24.0,2,90.0,71.6315854509,94.6798149876,Yes,17.625933002359304,BSOLVE,iters=1,17.2593326569,17.7193336487
2020-10-22 00:00:00,BUY,2,24.0,2,90.0,0.6949035092,53.18586279,Yes,19.360201830192654,BSOLVE,iters=1,18.9126663208,19.9206676483
2020-11-05 00:00:00,SELL,2,24.0,2,90.0,96.9976352185,97.8500816323,Yes,21.3266677856,FAST_LOW,threshold already passed,21.3266677856,22.4906673431
2021-05-11 00:00:00,BUY,2,24.0,2,90.0,8.3191719473,25.9074233207,Yes,31.917416921608204,BSOLVE,iters=1,28.6900005341,32.3100013733
2021-05-25 00:00:00,SELL,2,24.0,2,90.0,78.1120984045,94.3046450823,Yes,37.34858032351157,BSOLVE,iters=1,36.2400016785,37.75
2021-07-19 00:00:00,BUY,2,24.0,2,90.0,1.8960217575,10.5084967256,Yes,36.9300003052,FAST_HIGH,threshold already passed,34.7099990845,36.9300003052
2021-08-03 00:00:00,SELL,2,24.0,2,90.0,38.933669185,95.8931819252,Yes,45.73479318077391,BSOLVE,iters=1,43.6100006104,45.9799995422
2021-09-21 00:00:00,BUY,2,24.0,2,90.0,4.0077363222,36.9982807505,Yes,43.66501926539875,BSOLVE,iters=1,42.3499984741,44.5200004578
2021-10-18 00:00:00,SELL,2,24.0,2,90.0,46.5524577955,94.8818860669,Yes,42.71443882622039,BSOLVE,iters=1,40.4399986267,42.9700012207
2022-01-10 00:00:00,BUY,2,24.0,2,90.0,5.0384830029,20.005831723,Yes,60.1899986267,FAST_HIGH,threshold already passed,53.8199996948,60.1899986267
2022-07-20 00:00:00,SELL,2,24.0,2,90.0,70.5024114634,97.973164057,Yes,17.876931048604703,BSOLVE,iters=1,16.5,18.4400005341
2022-08-23 00:00:00,BUY,2,24.0,2,90.0,10.288998693,42.7626160334,Yes,17.453330602598328,BSOLVE,iters=1,17.0100002289,18.0599994659
2022-09-12 00:00:00,SELL,2,24.0,2,90.0,64.1250511283,94.7935404423,Yes,14.932773831914737,BSOLVE,iters=1,14.3000001907,15.0500001907
2023-04-26 00:00:00,BUY,2,24.0,2,90.0,0.4621347899,41.5252055788,Yes,13.529659729635766,BSOLVE,iters=1,13.1800003052,13.7899999619
2023-05-18 00:00:00,SELL,2,24.0,2,90.0,96.4779444919,98.6669532678,Yes,16.3199996948,FAST_LOW,threshold already passed,16.3199996948,17.7999992371
2023-09-18 00:00:00,BUY,2,24.0,2,90.0,8.2750184995,35.0964264274,Yes,19.774559515169518,BSOLVE,iters=1,19.2000007629,20.1800003052
2023-10-12 00:00:00,SELL,2,24.0,2,90.0,51.6316541832,98.1913311698,Yes,21.309620603579035,BSOLVE,iters=1,20.0900001526,21.5699996948
2024-01-05 00:00:00,BUY,2,24.0,2,90.0,1.472969748,45.7163345096,Yes,26.021177608787916,BSOLVE,iters=1,25.3999996185,26.6200008392
