date,action,buy_period,buy_thr,sell_period,sell_thr,rsi_low_at_d,rsi_high_at_d,rsi_close_at_d,condition_met,price,mode,reason,low_price,high_price
2010-07-30 00:00:00,BUY,2,20.0,2,50.0,3.3636127559,6.8053236198,5.305335918,Yes,0.5456669927,FAST_HIGH,,0.5076670051,0.5456669927
2010-08-03 00:00:00,SELL,2,20.0,2,50.0,25.8518317841,58.8543092082,34.3541087615,Yes,0.5485830009,NO_SOLUTION,,0.5323330164,0.5648329854
2010-08-11 00:00:00,BUY,2,20.0,2,50.0,3.036261935,5.2446143471,3.485141873,Yes,0.4831669927,FAST_HIGH,,0.4406670034,0.4831669927
2010-08-18 00:00:00,SELL,2,20.0,2,50.0,47.6527931802,85.0232355478,81.6513048286,Yes,0.45133350790000004,NO_SOLUTION,,0.4381670058,0.46450001
2010-08-25 00:00:00,BUY,2,20.0,2,50.0,3.6383008912,53.5515126487,45.4923825188,Yes,0.40133349595,NO_SOLUTION,,0.3824999928,0.4201669991
2010-08-30 00:00:00,SELL,2,20.0,2,50.0,25.7063942007,61.2688806587,26.0405897883,Yes,0.39908349509999996,NO_SOLUTION,,0.3840000033,0.4141669869
2010-09-23 00:00:00,BUY,2,20.0,2,50.0,4.0950483542,75.8178986429,48.4200768242,Yes,0.44824999575,NO_SOLUTION,,0.4221670032,0.4743329883
2010-09-27 00:00:00,SELL,2,20.0,2,50.0,63.1151806678,92.9394575322,72.1883856975,Yes,0.4905000031,FAST_LOW,,0.4905000031,0.5101670027
2010-10-20 00:00:00,BUY,2,20.0,2,50.0,7.3290478319,55.6343078058,41.6964001626,Yes,0.5215830207000001,NO_SOLUTION,,0.5083330274,0.534833014
2010-10-25 00:00:00,SELL,2,20.0,2,50.0,86.8740601672,92.0634908305,90.1080770505,Yes,0.5583329797,FAST_LOW,,0.5583329797,0.5773329735
2010-11-12 00:00:00,BUY,2,20.0,2,50.0,4.8908321527,67.8887665243,9.8758896323,Yes,0.68100002405,NO_SOLUTION,,0.6546670198,0.7073330283
2010-11-19 00:00:00,SELL,2,20.0,2,50.0,64.3525823197,90.997049998,90.1847335471,Yes,0.6603329778,FAST_LOW,,0.6603329778,0.7020000219
2010-12-15 00:00:00,BUY,2,20.0,2,50.0,3.4379826251,38.2497460073,3.7772753402,Yes,0.8154169917,NO_SOLUTION,,0.7966669798,0.8341670036
2010-12-20 00:00:00,SELL,2,20.0,2,50.0,32.3551002442,77.7484399456,45.3046534238,Yes,0.8244165182000001,NO_SOLUTION,,0.8115000129,0.8373330235
2010-12-29 00:00:00,BUY,2,20.0,2,50.0,9.2730365903,57.5928058464,42.4150000182,Yes,0.82516649365,NO_SOLUTION,,0.8178330064,0.8324999809
2010-12-31 00:00:00,SELL,2,20.0,2,50.0,21.7623662616,80.6023494584,53.1592929797,Yes,0.8288334906,NO_SOLUTION,,0.8199999928,0.8376669884
2011-01-21 00:00:00,BUY,2,20.0,2,50.0,9.6364855151,51.6260116508,10.1580735656,Yes,0.9750000238500001,NO_SOLUTION,,0.9474999905,1.0025000572
2011-01-25 00:00:00,SELL,2,20.0,2,50.0,37.8283612481,69.8456330244,50.5160253704,Yes,0.9960829914,NO_SOLUTION,,0.9743329883,1.0178329945
2011-02-23 00:00:00,BUY,2,20.0,2,50.0,5.0327339726,20.8381473239,6.5359985685,Yes,1.0380000174,NO_SOLUTION,,0.9816669822,1.0943330526
2011-02-28 00:00:00,SELL,2,20.0,2,50.0,37.9854246819,82.2837750417,51.1775724279,Yes,1.13341701035,NO_SOLUTION,,1.0851670504,1.1816669703
2011-03-08 00:00:00,BUY,2,20.0,2,50.0,12.038867746,45.2989741255,22.5919657751,Yes,1.0393334627500002,NO_SOLUTION,,1.0076669455,1.07099998
2011-03-21 00:00:00,SELL,2,20.0,2,50.0,78.9818147168,87.9868446826,84.5762526788,Yes,0.8706669807,FAST_LOW,,0.8706669807,0.906832993
2011-04-04 00:00:00,BUY,2,20.0,2,50.0,4.2460342174,41.3372713614,5.6801009821,Yes,0.9102500081,NO_SOLUTION,,0.8831670284,0.9373329878
2011-04-06 00:00:00,SELL,2,20.0,2,50.0,80.1236787775,86.9603575133,86.7646017019,Yes,0.976000011,FAST_LOW,,0.976000011,1.0069999695
2011-04-12 00:00:00,BUY,2,20.0,2,50.0,4.8818012121,9.5411896756,5.7231604326,Yes,0.9166669846,FAST_HIGH,,0.8684999943,0.9166669846
2011-04-21 00:00:00,SELL,2,20.0,2,50.0,73.0507920219,92.3191632558,86.4416775143,Yes,0.9679999948,FAST_LOW,,0.9679999948,1.0041669607
2011-05-04 00:00:00,BUY,2,20.0,2,50.0,4.4747737341,50.0240974659,14.0373181375,Yes,0.95216700435,NO_SOLUTION,,0.9231669903,0.9811670184
2011-05-09 00:00:00,SELL,2,20.0,2,50.0,28.5014307369,78.9156524048,51.3214379985,Yes,0.9710830152500001,NO_SOLUTION,,0.956833005,0.9853330255
2011-05-17 00:00:00,BUY,2,20.0,2,50.0,5.7383412201,11.8770821965,7.8290961055,Yes,0.9168329835,FAST_HIGH,,0.8668329716,0.9168329835
2011-05-27 00:00:00,SELL,2,20.0,2,50.0,83.9141752587,89.3902680396,87.8782775994,Yes,0.8993330002,FAST_LOW,,0.8993330002,0.921167016
2011-06-06 00:00:00,BUY,2,20.0,2,50.0,6.9833590962,23.5746557892,7.1829254713,Yes,0.8141670227,NO_SOLUTION,,0.8001670241,0.8281670213
2011-06-15 00:00:00,SELL,2,20.0,2,50.0,26.028561343,52.0776047434,26.5413730609,Yes,0.72241649035,NO_SOLUTION,,0.7030000091,0.7418329716
2011-06-17 00:00:00,BUY,2,20.0,2,50.0,7.4897232712,52.8692385536,8.3339935664,Yes,0.6744169891,NO_SOLUTION,,0.644167006,0.7046669722
2011-06-22 00:00:00,SELL,2,20.0,2,50.0,52.3080267943,83.5902885559,59.8097458674,Yes,0.6856669784,FAST_LOW,,0.6856669784,0.7118330002
2011-07-12 00:00:00,BUY,2,20.0,2,50.0,6.2215701017,12.2154192686,6.875913988,Yes,0.7225000262,FAST_HIGH,,0.6675000191,0.7225000262
2011-07-20 00:00:00,SELL,2,20.0,2,50.0,50.2293395239,84.0340800276,62.3896300634,Yes,0.6633329988,FAST_LOW,,0.6633329988,0.7081670165
2011-07-28 00:00:00,BUY,2,20.0,2,50.0,11.1314757371,46.1953025072,14.8319004308,Yes,0.65349999075,NO_SOLUTION,,0.6269999743,0.6800000072
2011-08-12 00:00:00,SELL,2,20.0,2,50.0,56.5835935406,81.9695540362,66.6980838261,Yes,0.4589999914,FAST_LOW,,0.4589999914,0.4998329878
2011-08-19 00:00:00,BUY,2,20.0,2,50.0,3.9469859522,37.1785026003,4.0576193517,Yes,0.3793334961,NO_SOLUTION,,0.3549999893,0.4036670029
2011-08-24 00:00:00,SELL,2,20.0,2,50.0,47.3630550371,83.1114666606,77.0369448124,Yes,0.41583299635000004,NO_SOLUTION,,0.3973329961,0.4343329966
2011-09-06 00:00:00,BUY,2,20.0,2,50.0,3.2501878684,6.579031855,6.4090399302,Yes,0.3968330026,FAST_HIGH,,0.3646669984,0.3968330026
2011-09-08 00:00:00,SELL,2,20.0,2,50.0,54.7028881222,87.5442187142,64.6747862497,Yes,0.4329999983,FAST_LOW,,0.4329999983,0.4740000069
2011-09-22 00:00:00,BUY,2,20.0,2,50.0,1.8669337487,3.0983256048,2.4958916659,Yes,0.4524999857,FAST_HIGH,,0.4133329988,0.4524999857
2011-09-28 00:00:00,SELL,2,20.0,2,50.0,24.7613490932,83.7342171245,25.1581658429,Yes,0.4692500085,NO_SOLUTION,,0.4435000122,0.4950000048
2011-09-30 00:00:00,BUY,2,20.0,2,50.0,5.7985070729,12.0697073187,5.8128505967,Yes,0.4185000062,FAST_HIGH,,0.3833329976,0.4185000062
2011-10-05 00:00:00,SELL,2,20.0,2,50.0,39.6660432454,76.6642352391,75.7523582072,Yes,0.39599999784999995,NO_SOLUTION,,0.3689999878,0.4230000079
2011-11-02 00:00:00,BUY,2,20.0,2,50.0,11.3478206154,41.1748607525,25.436972355,Yes,0.5036669969500001,NO_SOLUTION,,0.4906669855,0.5166670084
2011-11-04 00:00:00,SELL,2,20.0,2,50.0,51.8148486976,84.2223577053,82.534052144,Yes,0.533667028,FAST_LOW,,0.533667028,0.573167026
2011-11-10 00:00:00,BUY,2,20.0,2,50.0,9.3368215098,43.4207748193,31.4010087901,Yes,0.5040834993000001,NO_SOLUTION,,0.4866670072,0.5214999914
2011-11-14 00:00:00,SELL,2,20.0,2,50.0,43.3355047618,79.6176646256,51.0587648829,Yes,0.5503334999,NO_SOLUTION,,0.5311669707,0.5695000291
2011-11-18 00:00:00,BUY,2,20.0,2,50.0,7.461831104,29.3884011815,8.4802975877,Yes,0.4856665134,NO_SOLUTION,,0.4695000052,0.5018330216
2011-11-29 00:00:00,SELL,2,20.0,2,50.0,44.2566488276,72.4664685737,47.7179417406,Yes,0.41449999810000004,NO_SOLUTION,,0.4023329914,0.4266670048
2011-12-13 00:00:00,BUY,2,20.0,2,50.0,8.3230700333,45.2173959571,9.1452203191,Yes,0.432250008,NO_SOLUTION,,0.4058330059,0.4586670101
2011-12-21 00:00:00,SELL,2,20.0,2,50.0,39.3494513926,73.0523374263,53.4165874812,Yes,0.40125000479999995,NO_SOLUTION,,0.3858329952,0.4166670144
2012-01-31 00:00:00,BUY,2,20.0,2,50.0,11.9531646594,61.8209043591,29.5189252803,Yes,0.60733351115,NO_SOLUTION,,0.593167007,0.6215000153
2012-02-02 00:00:00,SELL,2,20.0,2,50.0,86.9800596543,93.3363091139,90.9475681946,Yes,0.6463329792,FAST_LOW,,0.6463329792,0.6710000038
2012-02-13 00:00:00,BUY,2,20.0,2,50.0,11.7709989681,55.6672998824,35.4931574493,Yes,0.6546665132,NO_SOLUTION,,0.6343330145,0.6750000119
2012-02-15 00:00:00,SELL,2,20.0,2,50.0,71.5625465442,88.1929543319,75.1660366563,Yes,0.6750000119,FAST_LOW,,0.6750000119,0.7024999857
2012-03-05 00:00:00,BUY,2,20.0,2,50.0,3.2879393988,10.1746287042,3.6043207505,Yes,0.6468330026,FAST_HIGH,,0.59799999,0.6468330026
